Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
5bdrm House in VGC / Ajah for sale,500.0,5,5,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,False,380000000
5bdrm Duplex in Ikate for sale,500.0,5,5,Semi-furnished,"Lekki, Ikate",Ikate,Lagos State,False,800000000
2bdrm Block of Flats in Lekki Phase 1 for sale,500.0,2,3,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,330000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,350000000
4bdrm Duplex in Ogba Bus-Stop for sale,500.0,4,4,Semi-furnished,"Ogba, Ogba Bus-Stop",Ogba Bus-Stop,Lagos State,False,250000000
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,300000000
4bdrm Duplex in Ikota for sale,500.0,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,False,150000000
5bdrm Duplex in Lekki for sale,500.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,650000000
3bdrm Duplex in Lekki Phase 1 for sale,500.0,3,3,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,600000000
4bdrm Duplex in Phase 1 / Gbagada for sale,500.0,4,4,Semi-furnished,"Gbagada, Phase 1 / Gbagada",Phase 1 / Gbagada,Lagos State,False,250000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi-furnished,"Lekki, Chevron",Chevron,Lagos State,False,450000000
2bdrm Apartment in Egbeda for sale,500.0,2,2,Semi-furnished,"Alimosho, Egbeda",Egbeda,Lagos State,False,250000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,550000000
4bdrm Duplex in Papa Ajao / Mushin for sale,500.0,4,4,Semi-furnished,"Mushin, Papa Ajao / Mushin",Papa Ajao / Mushin,Lagos State,False,320000000
1bdrm Apartment in Lekki Expressway for sale,500.0,1,1,Unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,82000000
4bdrm Duplex in Chevron for sale,500.0,4,4,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,False,350000000
4bdrm Duplex in Ikota for sale,200.0,4,4,Unfurnished,"Lekki, Ikota",Ikota,Lagos State,False,200000000
4bdrm Duplex in Berger for sale,500.0,4,4,Semi-furnished,"Ojodu, Berger",Berger,Lagos State,False,290000000
5bdrm Duplex in Lekki for sale,500.0,5,5,Unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,430000000
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,370000000
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,Semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,False,420000000
2bdrm Maisonette in Cement for sale,500.0,2,2,Semi-furnished,"Agege, Cement",Cement,Lagos State,False,140000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,450000000
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,650000000
2bdrm Apartment in Chevron for sale,500.0,2,2,Semi-furnished,"Lekki, Chevron",Chevron,Lagos State,False,160000000
5bdrm Duplex in Omole Phase 1 for sale,500.0,5,5,Semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,False,950000000
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,Semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,350000000
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,Semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lagos State,False,240000000
4bdrm Apartment in Lekki Phase 1 for sale,500.0,4,4,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,400000000
5bdrm Duplex in Chevron for sale,500.0,5,5,Semi-furnished,"Lekki, Chevron",Chevron,Lagos State,False,500000000
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,False,340000000
4bdrm Duplex in GRA Phase 2 Shangisha for sale,500.0,4,4,Semi-furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,False,520000000
5bdrm Duplex in Adeniyi Jones for sale,500.0,5,5,Semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,False,600000000
4bdrm Duplex in Fagba for sale,500.0,4,4,Semi-furnished,"Agege, Fagba",Fagba,Lagos State,False,240000000
2bdrm Maisonette in Ikate for sale,500.0,2,2,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,False,250000000
5bdrm Duplex in Ikota for sale,500.0,5,5,Semi-furnished,"Lekki, Ikota",Ikota,Lagos State,False,420000000
2bdrm Room & Parlour in Abule Egba for sale,200.0,2,2,Unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,30000000
4bdrm Duplex in New Garage / Gbagada for sale,500.0,4,4,Semi-furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Lagos State,False,350000000
5bdrm Duplex in Ajah for sale,500.0,5,5,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,270000000
