title,property_size,bedrooms,bathrooms,furnishing,region,region_name,region_parent_name,is_boost,price
3bdrm Apartment in Lekki for sale,500.0,3,3,unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 150,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 300,000,000"
4bdrm Duplex in Ogudu GRA for sale,500.0,4,4,semi-furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,False,"₦ 480,000,000"
5bdrm Duplex in Omole Phase 1 for sale,500.0,5,5,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,False,"₦ 700,000,000"
2bdrm Duplex in Lekki Phase 1 for sale,500.0,2,2,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 280,000,000"
6bdrm Duplex in Lekki Expressway for sale,500.0,6,6,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 400,000,000"
5bdrm House in VGC / Ajah for sale,500.0,5,5,unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Ajah,False,"₦ 380,000,000"
5bdrm Duplex in Ikate for sale,500.0,5,5,semi-furnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 800,000,000"
2bdrm Block of Flats in Lekki Phase 1 for sale,500.0,2,3,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 330,000,000"
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 350,000,000"
4bdrm Duplex in Ogba Bus-Stop for sale,500.0,4,4,semi-furnished,"Ogba, Ogba Bus-Stop",Ogba Bus-Stop,Ogba,False,"₦ 250,000,000"
5bdrm Duplex in Ikoyi S.W for sale,500.0,5,5,semi-furnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,False,"₦ 1,750,000,000"
4bdrm Duplex in Ikoyi S.W for sale,500.0,4,4,semi-furnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,False,"₦ 1,600,000,000"
4bdrm Duplex in Lekki Expressway for sale,500.0,4,4,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 300,000,000"
4bdrm Duplex in Ikota for sale,500.0,4,4,unfurnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 150,000,000"
5bdrm Duplex in Lekki for sale,500.0,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 650,000,000"
3bdrm Duplex in Lekki Phase 1 for sale,500.0,3,3,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 600,000,000"
4bdrm Duplex in Phase 1 / Gbagada for sale,500.0,4,4,semi-furnished,"Gbagada, Phase 1 / Gbagada",Phase 1 / Gbagada,Gbagada,False,"₦ 250,000,000"
5bdrm Duplex in Chevron for sale,500.0,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 450,000,000"
2bdrm Apartment in Egbeda for sale,500.0,2,2,semi-furnished,"Alimosho, Egbeda",Egbeda,Alimosho,False,"₦ 250,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 550,000,000"
4bdrm Duplex in Papa Ajao / Mushin for sale,500.0,4,4,semi-furnished,"Mushin, Papa Ajao / Mushin",Papa Ajao / Mushin,Mushin,False,"₦ 320,000,000"
1bdrm Apartment in Lekki Expressway for sale,500.0,1,1,unfurnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 82,000,000"
4bdrm Duplex in Chevron for sale,500.0,4,4,unfurnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 350,000,000"
4bdrm Duplex in Ikota for sale,200.0,4,4,unfurnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 200,000,000"
4bdrm Duplex in Berger for sale,500.0,4,4,semi-furnished,"Ojodu, Berger",Berger,Ojodu,False,"₦ 290,000,000"
5bdrm Duplex in Lekki for sale,500.0,5,5,unfurnished,"Lagos State, Lekki",Lekki,Lagos State,False,"₦ 430,000,000"
4bdrm Duplex in Lekki Phase 1 for sale,500.0,4,4,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 370,000,000"
7bdrm Duplex in Ikeja GRA for sale,500.0,7,7,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,False,"₦ 2,000,000,000"
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,False,"₦ 420,000,000"
2bdrm Maisonette in Cement for sale,500.0,2,2,semi-furnished,"Agege, Cement",Cement,Agege,False,"₦ 140,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 450,000,000"
5bdrm Duplex in Lekki Phase 1 for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 650,000,000"
2bdrm Apartment in Chevron for sale,500.0,2,2,semi-furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 160,000,000"
5bdrm Duplex in Banana Island for sale,500.0,5,5,semi-furnished,"Ikoyi, Banana Island",Banana Island,Ikoyi,False,"₦ 5,600,000,000"
5bdrm Duplex in Omole Phase 1 for sale,500.0,5,5,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,False,"₦ 950,000,000"
6bdrm Duplex in Lekki Phase 1 for sale,500.0,6,6,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 1,300,000,000"
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 350,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 240,000,000"
4bdrm Apartment in Lekki Phase 1 for sale,500.0,4,4,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 400,000,000"
5bdrm Duplex in Chevron for sale,500.0,5,5,semi-furnished,"Lekki, Chevron",Chevron,Lekki,False,"₦ 500,000,000"
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 340,000,000"
4bdrm Duplex in GRA Phase 2 Shangisha for sale,500.0,4,4,semi-furnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Magodo,False,"₦ 520,000,000"
5bdrm Duplex in Adeniyi Jones for sale,500.0,5,5,semi-furnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,False,"₦ 600,000,000"
4bdrm Duplex in Fagba for sale,500.0,4,4,semi-furnished,"Agege, Fagba",Fagba,Agege,False,"₦ 240,000,000"
5bdrm Duplex in Omole Phase 1 for sale,500.0,5,5,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,False,"₦ 700,000,000"
2bdrm Maisonette in Ikate for sale,500.0,2,2,unfurnished,"Lekki, Ikate",Ikate,Lekki,False,"₦ 250,000,000"
5bdrm Duplex in Ikota for sale,500.0,5,5,semi-furnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 420,000,000"
2bdrm Room & Parlour in Abule Egba for sale,200.0,2,2,unfurnished,"Lagos State, Abule Egba",Abule Egba,Lagos State,False,"₦ 30,000,000"
4bdrm Duplex in New Garage / Gbagada for sale,500.0,4,4,semi-furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Gbagada,False,"₦ 350,000,000"
5bdrm Duplex in Ajah for sale,500.0,5,5,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,"₦ 270,000,000"
5bdrm Duplex in Ado / Ajah for sale,500.0,5,5,semi-furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,False,"₦ 230,000,000"
3bdrm Apartment in Allen Avenue for sale,500.0,3,3,semi-furnished,"Ikeja, Allen Avenue",Allen Avenue,Ikeja,False,"₦ 275,000,000"
4bdrm Duplex in GRA Phase 1 for sale,500.0,4,4,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,False,"₦ 350,000,000"
5bdrm Duplex in Ogba GRA for sale,500.0,5,5,semi-furnished,"Ogba, Ogba GRA",Ogba GRA,Ogba,False,"₦ 520,000,000"
4bdrm Duplex in Ikota for sale,500.0,4,4,unfurnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 180,000,000"
4bdrm Apartment in Thomas Estate for sale,500.0,4,4,semi-furnished,"Ajah, Thomas Estate",Thomas Estate,Ajah,False,"₦ 195,000,000"
5bdrm Duplex in Lekki Expressway for sale,500.0,5,5,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 750,000,000"
4bdrm Maisonette in Opebi for sale,500.0,4,4,semi-furnished,"Ikeja, Opebi",Opebi,Ikeja,False,"₦ 420,000,000"
5bdrm Duplex in Ikoyi S.W for sale,500.0,5,5,semi-furnished,"Ikoyi, Ikoyi S.W",Ikoyi S.W,Ikoyi,False,"₦ 1,850,000,000"
3bdrm Apartment in Lekki Phase 1 for sale,500.0,3,3,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 500,000,000"
4bdrm Duplex in Ajah for sale,500.0,4,4,unfurnished,"Lagos State, Ajah",Ajah,Lagos State,False,"₦ 160,000,000"
3bdrm Duplex in Ikota for sale,500.0,3,3,semi-furnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 135,000,000"
Furnished 4bdrm Duplex in Guzape District for sale,250.0,4,4,furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),diamond,"₦ 450,000,000"
4bdrm Maisonette in Ikorodu Road / Ilupeju for sale,500.0,4,4,semi-furnished,"Ilupeju, Ikorodu Road / Ilupeju",Ikorodu Road / Ilupeju,Ilupeju,False,"₦ 243,000,000"
4bdrm Duplex in Oko-Oba for sale,500.0,4,4,semi-furnished,"Agege, Oko-Oba",Oko-Oba,Agege,False,"₦ 380,000,000"
Furnished 4bdrm Duplex in Ado / Ajah for sale,500.0,4,4,furnished,"Ajah, Ado / Ajah",Ado / Ajah,Ajah,False,"₦ 160,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 300,000,000"
4bdrm Duplex in Ikota for sale,500.0,4,4,semi-furnished,"Lekki, Ikota",Ikota,Lekki,False,"₦ 200,000,000"
3bdrm Duplex in GRA Phase 1 for sale,500.0,3,3,semi-furnished,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,False,"₦ 350,000,000"
5bdrm Duplex in Omole Phase 1 for sale,500.0,5,5,semi-furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,False,"₦ 700,000,000"
2bdrm Apartment in Lekki Phase 1 for sale,500.0,2,2,semi-furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,False,"₦ 280,000,000"
3bdrm Apartment in New Garage / Gbagada for sale,500.0,3,3,semi-furnished,"Gbagada, New Garage / Gbagada",New Garage / Gbagada,Gbagada,False,"₦ 150,000,000"
3bdrm Duplex in Ojuelegba for sale,500.0,3,3,semi-furnished,"Surulere, Ojuelegba",Ojuelegba,Surulere,False,"₦ 400,000,000"
3bdrm Townhouse/Terrace in Off Lekki-Epe Expressway for sale,250.0,3,3,semi-furnished,"Ajah, Off Lekki-Epe Expressway",Off Lekki-Epe Expressway,Ajah,diamond,"₦ 150,000,000"
4bdrm Duplex in Alausa for sale,500.0,4,4,semi-furnished,"Ikeja, Alausa",Alausa,Ikeja,False,"₦ 400,000,000"
2bdrm Apartment in Lekki Expressway for sale,500.0,2,2,semi-furnished,"Lekki, Lekki Expressway",Lekki Expressway,Lekki,False,"₦ 130,000,000"
3bdrm Apartment in Ikeja GRA for sale,500.0,3,3,semi-furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,False,"₦ 320,000,000"
4bdrm Duplex in Ogudu GRA for sale,500.0,4,4,semi-furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,False,"₦ 550,000,000"
4bdrm Duplex in Ikorodu Garage for sale,500.0,4,4,semi-furnished,"Ikorodu, Ikorodu Garage",Ikorodu Garage,Ikorodu,False,"₦ 280,000,000"
4bdrm Duplex in Ogudu GRA for sale,500.0,4,4,semi-furnished,"Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,False,"₦ 550,000,000"
